Organism,Group,type,name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1 site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2 T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Chlorophyte B: colonial 4x4,chlorophyte,colonial,chlorb,sph,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,,,21,,,,,,
Chlorophyte C: colonial 4x16,chlorophyte,colonial,chlorc,sph,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,42,,
Chlorophyte D: colonial 6x6,chlorophyte,colonial,chlord,cyl,6,6,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,5,,,,,,47,
Chlorophyte E: colonial 6x12,chlorophyte,colonial,chlore,sph,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,
Chlorophyte F: colonial 8x8,chlorophyte,colonial,chlorf,sph,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,,,2,,,,,,,,,77
Chlorophyte G: colonial 8x16,chlorophyte,colonial,chlorg,sph,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,
Chlorophyte H: colonial 10x10,chlorophyte,colonial,chlorh,sph,10,10,,,13,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,88,,6,13
Chlorophyte I: colonial 12x12,chlorophyte,colonial,chlori,sph,12,12,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,20,3,7,,
Chlorophyte J: colonial 16x16,chlorophyte,colonial,chlorj,sph,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,7,,
Chlorophyte L: colonial 4x10,chlorophyte,colonial,chlorl,sph,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Chlorophyte M: other 10x10,chlorophyte,other,chlorm,sph,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,11,,,,,,,,,,,,6,,,,,,,17,,,,
Chlorophyte N: scendesmus,chlorophyte,scenedesmus,chlorn,prosph,4,4,,7,,,2,,,2,,4,4,9,11,,11,6,,10,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,10,,,,16,,,
