samp_date,cnt_date,sample,group,type,sa,la,wi,counts,tot_vol_um3,tot_biomass_pgC,pres_fact,vol_set_ml,n_bugs,time_d,bio_per_vol_pgc_ml,bio_per_vol_ugl
7/24/19,9/16/21,SJR1 IC-1,chlorophyte,scenedesmus,4,8,,7,469.1306667,69.63036172,0.909,25,24,1,3.06404232,0.003064042
7/24/19,9/16/21,SJR1 IC-1,ciliate,cone,24,24,,77,278663.616,52442.91457,0.909,25,24,1,2307.719013,2.307719013
7/24/19,9/16/21,SJR1 IC-1,ciliate,round,5.5,5.5,,2,174.2223542,36.89555536,0.909,25,24,1,1.623566792,0.001623567
7/24/19,9/16/21,SJR1 IC-1,ciliate,round,9.5,9.5,,30,13467.21781,2660.340795,0.909,25,24,1,117.0667016,0.117066702
7/24/19,9/16/21,SJR1 IC-1,ciliate,round,14,14,,21,30170.966,5883.606567,0.909,25,24,1,258.9045794,0.258904579
7/24/19,9/16/21,SJR1 IC-1,ciliate,round,24,24,,4,28952.064,5649.636339,0.909,25,24,1,248.6088598,0.24860886
7/24/19,9/16/21,SJR1 IC-1,cyanobacteria,aphanizomenon,6,72,,1,2035.692,368.460252,0.909,25,24,1,16.21387248,0.016213872
7/24/19,9/16/21,SJR1 IC-1,diatom,centric,5.5,5.5,,98,12805.34303,486.1804865,0.909,25,24,1,21.39408081,0.021394081
7/24/19,9/16/21,SJR1 IC-1,diatom,centric,9.5,9.5,,266,179113.9969,4968.130252,0.909,25,24,1,218.6195931,0.218619593
7/24/19,9/16/21,SJR1 IC-1,diatom,centric,14,14,,3,6465.207,266.2618753,0.909,25,24,1,11.71669418,0.011716694
7/24/19,9/16/21,SJR1 IC-1,diatom,centric,24.5,24.5,,542,6260004.024,113754.3715,0.909,25,24,1,5005.692915,5.005692915
7/24/19,9/16/21,SJR1 IC-1,diatom,centric,48,48,,4,347424.768,8906.031063,0.909,25,24,1,391.9045572,0.391904557
7/24/19,9/16/21,SJR1 IC-1,diatom,pennate,2,20,2,23,1445.09,71.13007472,0.909,25,24,1,3.130036291,0.003130036
7/24/19,9/16/21,SJR1 IC-1,flagellate,other,3.67,5.5,,99,3839.863854,501.3330222,0.909,25,24,1,22.06085906,0.022060859
7/24/19,9/16/21,SJR1 IC-1,flagellate,other,6.33,9.5,,27,5381.21821,688.2570006,0.909,25,24,1,30.28633666,0.030286337
7/24/19,9/16/21,SJR1 IC-1,flagellate,other,9,14,,2,1187.487,166.5444844,0.909,25,24,1,7.328690182,0.00732869
7/24/19,9/16/21,SJR1 IC-1,unidentified,flagchloro,4,20,,31,7790.92,974.2167283,0.909,25,24,1,42.86982303,0.042869823
7/24/19,9/16/21,SJR1 IC-1,unidentified,round,5.5,5.5,,223,19425.79249,2297.425266,0.909,25,24,1,101.0968214,0.101096821
7/24/19,9/16/21,SJR1 IC-1,unidentified,round,9.5,9.5,,35,15711.75411,1882.386155,0.909,25,24,1,82.83327415,0.082833274
7/24/19,9/16/21,SJR1 IC-1,unidentified,round,14,14,,1,1436.712667,199.1700841,0.909,25,24,1,8.764360135,0.00876436
7/24/19,9/16/21,SJR1 IC-1,unidentified,round,24.5,24.5,,49,377294.2154,37235.43304,0.909,25,24,1,1638.522906,1.638522906
7/24/19,9/16/21,SJR1 IC-1,unidentified,,32,56,,4,120097.4507,12709.71987,0.909,25,24,1,559.2836028,0.559283603
7/24/19,9/17/21,SJR1 IC-2,chlorophyte,other,10,10,,6,3141.5,415.207753,0.911,25,24,1,18.23085633,0.018230856
7/24/19,9/17/21,SJR1 IC-2,chlorophyte,scenedesmus,4,4,,3,100.528,16.39084276,0.911,25,24,1,0.719685741,0.000719686
7/24/19,9/17/21,SJR1 IC-2,ciliate,cone,24,24,,70,253330.56,47748.13552,0.911,25,24,1,2096.515281,2.096515281
7/24/19,9/17/21,SJR1 IC-2,ciliate,other odd shape,32,136,,1,72916.30933,14019.9776,0.911,25,24,1,615.5862833,0.615586283
7/24/19,9/17/21,SJR1 IC-2,ciliate,round,5.5,5.5,,3,261.3335313,54.98545849,0.911,25,24,1,2.414290164,0.00241429
7/24/19,9/17/21,SJR1 IC-2,ciliate,round,9.5,9.5,,23,10324.86699,2048.283894,0.911,25,24,1,89.93562653,0.089935627
7/24/19,9/17/21,SJR1 IC-2,ciliate,round,14,14,,15,21550.69,4225.261932,0.911,25,24,1,185.521929,0.185521929
7/24/19,9/17/21,SJR1 IC-2,ciliate,round,24,24,,9,65142.144,12547.81455,0.911,25,24,1,550.9468519,0.550946852
7/24/19,9/17/21,SJR1 IC-2,ciliate,round,56,56,,2,183899.2213,34839.70332,0.911,25,24,1,1529.734504,1.529734504
7/24/19,9/17/21,SJR1 IC-2,cyanobacteria,dolichospermum,4,80,,15,15079.2,2729.3352,0.911,25,24,1,119.8390867,0.119839087
7/24/19,9/17/21,SJR1 IC-2,cyanobacteria,dolichospermum,8,40,,1,2010.56,363.91136,0.911,25,24,1,15.9785449,0.015978545
7/24/19,9/17/21,SJR1 IC-2,diatom,centric,5.5,5.5,,50,6533.338281,268.7323345,0.911,25,24,1,11.79944389,0.011799444
7/24/19,9/17/21,SJR1 IC-2,diatom,centric,9.5,9.5,,301,202681.6281,5539.739388,0.911,25,24,1,243.2377338,0.243237734
7/24/19,9/17/21,SJR1 IC-2,diatom,centric,14,14,,10,21550.69,769.0687435,0.911,25,24,1,33.76811168,0.033768112
7/24/19,9/17/21,SJR1 IC-2,diatom,centric,24.5,24.5,,356,4111736.96,78549.27339,0.911,25,24,1,3448.925286,3.448925286
7/24/19,9/17/21,SJR1 IC-2,diatom,chain,16,160,,1,32168.96,1094.555725,0.911,25,24,1,48.05952691,0.048059527
7/24/19,9/17/21,SJR1 IC-2,diatom,pennate,1,20,1,11,172.7825,10.95022756,0.911,25,24,1,0.480800332,0.0004808
7/24/19,9/17/21,SJR1 IC-2,flagellate,other,3.67,5.5,,46,1784.179164,244.0925184,0.911,25,24,1,10.71756393,0.010717564
7/24/19,9/17/21,SJR1 IC-2,flagellate,other,6.33,9.5,,33,6577.044479,830.968675,0.911,25,24,1,36.4860011,0.036486001
7/24/19,9/17/21,SJR1 IC-2,flagellate,other,9,14,,3,1781.2305,243.713702,0.911,25,24,1,10.70093093,0.010700931
7/24/19,9/17/21,SJR1 IC-2,flagellate,,16,32,,1,4289.194667,556.2302288,0.911,25,24,1,24.4228421,0.024422842
7/24/19,9/17/21,SJR1 IC-2,ochrophyte,synura,32,32,,1,17156.77867,2044.508494,0.911,25,24,1,89.76985702,0.089769857
7/24/19,9/17/21,SJR1 IC-2,unidentified,rotifer,48,120,,2,289520.64,29038.27608,0.911,25,24,1,1275.006634,1.275006634
7/24/19,9/17/21,SJR1 IC-2,unidentified,round,5.5,5.5,,90,7840.005938,979.979166,0.911,25,24,1,43.02872299,0.043028723
7/24/19,9/17/21,SJR1 IC-2,unidentified,round,9.5,9.5,,19,8529.237948,1060.665536,0.911,25,24,1,46.57148346,0.046571483
7/24/19,9/17/21,SJR1 IC-2,unidentified,round,24.5,24.5,,67,515892.0905,49951.26943,0.911,25,24,1,2193.25003,2.19325003
7/24/19,9/17/21,SJR1 IC-2,unidentified,round,64,64,,1,137254.2293,14407.55934,0.911,25,24,1,632.6041422,0.632604142
7/24/19,9/17/21,SJR1 IC-2,unidentified,,6,32,,30,18095.04,2149.325376,0.911,25,24,1,94.37213506,0.094372135
7/24/19,9/20/21,SJR1 IC-3,ciliate,cone,24,24,,114,412566.912,77156.82003,0.909,28,24,1,3031.463933,3.031463933
7/24/19,9/20/21,SJR1 IC-3,ciliate,cone,32,36,,3,28952.064,5649.636339,0.909,28,24,1,221.9721963,0.221972196
7/24/19,9/20/21,SJR1 IC-3,ciliate,round,5.5,5.5,,1,87.11117708,18.65350879,0.909,28,24,1,0.732889706,0.00073289
7/24/19,9/20/21,SJR1 IC-3,ciliate,round,9.5,9.5,,35,15711.75411,3096.085284,0.909,28,24,1,121.6440863,0.121644086
7/24/19,9/20/21,SJR1 IC-3,ciliate,round,14,14,,39,56031.794,10819.00724,0.909,28,24,1,425.0749347,0.425074935
7/24/19,9/20/21,SJR1 IC-3,ciliate,round,48,48,,1,57904.128,11174.65206,0.909,28,24,1,439.0480927,0.439048093
7/24/19,9/20/21,SJR1 IC-3,cyanobacteria,aphanizomenon,8,80,,16,64337.92,11645.16352,0.909,28,24,1,457.5343203,0.45753432
7/24/19,9/20/21,SJR1 IC-3,diatom,centric,5.5,5.5,,48,6272.00475,259.2393246,0.909,28,24,1,10.18542058,0.010185421
7/24/19,9/20/21,SJR1 IC-3,diatom,centric,9.5,9.5,,181,121878.3212,3539.053077,0.909,28,24,1,139.0481328,0.139048133
7/24/19,9/20/21,SJR1 IC-3,diatom,centric,14,14,,4,8620.276,343.0678442,0.909,28,24,1,13.47901321,0.013479013
7/24/19,9/20/21,SJR1 IC-3,diatom,centric,24.5,24.5,,802,9262957.983,160654.2956,0.909,28,24,1,6312.04996,6.31204996
